NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,1.0,0204,Z EBMSTRT,Z EBM WAFER START QUEUE,2025-07-10 03:58:23,,PC,PC-STARTS
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,2.0,262711,Z FABENTER,Z PLANNING FAB ENTRY STG OPER,2025-07-10 03:58:31,,PC,PC-PS
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,3.0,179554,M-8INCSi S,M-P1278 INCOMING EPI SIL INSPECTION,2025-07-10 04:28:59,,METRO,DM-UNPATT
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,4.0,218045,M-8START V,M-P1278 START LOGIC BLOCK,2025-07-10 04:29:05,,METRO,DM-LOGIC
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,5.0,202263,D*8ZROXPAD,D*P1278 ZRO HM POX PAD,2025-07-10 12:21:15,,DIFFUSION,DI-VFOae
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,6.0,209409,Z 8G23SUIT,Z P1278 GEN SUITCASE SPLIT 23,2025-07-10 12:21:15,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,7.0,180697,W 8ZPOXSCB,W P1278 ZRO POST PadOx SCRUB,2025-07-10 12:30:35,,WET ETCH,WE-DRTnc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,8.0,180046,D*8ZROaSi,D*P1278 ZRO aSi DEPOSITION,2025-07-10 19:42:32,,DIFFUSION,DI-VFPdi
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,9.0,192524,Z 8G13SUIT,Z P1278 GEN SUITCASE SPLIT 13,2025-07-10 19:42:32,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,10.0,202264,D*8ZISONHM,D*P1278 ISON ZRO HM Dep,2025-07-11 01:26:15,,DIFFUSION,DI-VFNdi
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,11.0,176976,W 8ZROLSCB,W P1278 PRE ZRO LITHO SCRUB,2025-07-16 10:09:42,,WET ETCH,WE-DRTnc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,12.0,177500,L 8ZRO CH,L P1278 ZRO CARBON HARDMASK DEP,2025-07-16 10:17:24,,LITHO,LI-TBEbc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,13.0,177501,L 8ZRO SA,L P1278 ZRO SiARC DEP,2025-07-16 10:35:06,2.0,LITHO,LI-TBEbc
